category	word	link on verb	link on VP
vbd	rocked	1	0
vbz	bookmarklets	1	0
vb	win	2	2
vb	spoofmail	1	0
vbz	scares	1	0
vbg	redesigning	1	0
vb	adopt	1	0
vbg	ananova	1	0
vbg	investigating	1	0
vb	webwasher	1	0
vbg	bemoaning	1	0
vb	helpdesk	1	0
vbd	took	1	2
vb	need	1	0
vbz	kausfiles	1	0
vbg	directing	1	0
vbz	auroras	1	0
vbg	anticipating	1	0
vbg	farting	1	0
vbg	brozac	1	0
vbd	happened	1	0
vb	download	4	7
vbz	is	2	20
vbg	teaching	1	1
vbg	battling	1	0
vbg	reducing	1	0
vbp	hate	4	0
vbz	builds	1	1
vbg	telemarketing	1	0
vbg	appealing	1	0
vbp	build	1	1
vbz	recalls	2	0
vbn	produced	1	1
vbg	setting	1	1
vbg	swallowing	1	0
vb	beautify	1	0
vb	canonize	1	0
vb	cable	1	0
vb	bury	1	1
vb	create	1	5
vbg	watching	2	2
vbg	identifying	1	0
vbg	toasting	1	0
vbn	canonized	1	0
vb	catch	1	2
vb	strange	1	0
vbn	discussed	3	0
vbp	tell	1	1
vbg	photograph	1	0
vbz	likes	2	0
vbg	making	5	12
vb	write	1	4
vb	submit	2	2
vbg	fighting	1	1
vbd	tamed	1	0
vb	calculate	1	1
vbz	heidelbergensis	1	0
vb	search	1	1
vb	discuss	1	0
vbz	lists	1	0
vb	destroy	1	2
vbg	charting	1	0
vb	resurrect	1	0
vb	vent	1	0
vbn	discovered	1	1
vbn	reported	1	0
vbn	arrested	1	0
vbz	links	1	0
vbd	died	6	4
vbp	love	5	3
vbg	throwing	1	1
vb	liberate	1	0
vb	redeem	1	0
vbg	breaking	1	1
vb	realplayer	1	0
vbz	lambasts	1	0
vbn	catalogued	1	0
vb	remember	3	3
vb	double	1	0
vbz	stores	1	0
vbg	curtailing	1	0
vbn	gifted	1	0
vb	futurama	1	0
vb	refresh	1	0
vbg	denying	1	1
vbz	makes	1	1
vb	bikewriter	1	0
vbd	sued	1	0
vb	learn	1	3
vb	clip	1	1
vbp	suspect	1	0
vbg	publicizing	1	0
vbd	lost	1	1
vb	validate	1	0
vbz	affects	1	0
vbp	fear	1	0
vb	memogate	1	0
vbg	controlling	1	0
vbz	explains	3	0
vbg	lambasting	1	0
vb	naral	1	0
vbd	noted	1	0
vbn	announced	2	0
vbg	ruining	1	0
vbz	invades	1	0
vb	blast	1	0
vb	frame	1	1
vb	educate	1	0
vbg	hating	1	0
vb	kill	4	3
vbd	downplayed	1	0
vbn	posted	1	0
vbg	costing	1	0
vbg	bo2king	1	0
vb	militarize	1	0
vbg	annotating	1	0
vb	protect	1	5
rb	well	1	0
vbn	expelled	1	0
vbg	christianity	1	0
vb	accomplish	1	0
vbz	reveals	3	0
vbz	love	1	3
vbg	soliciting	1	0
vb	cook	1	3
vbg	disturbing	1	0
vb	visit	2	3
vbg	causing	2	0
vbg	parrrsing	1	0
vb	influence	1	0
vbn	seen	2	1
vbz	outperforms	1	0
vb	shake	1	1
vbz	turns	1	2
vbp	are	3	5
vbg	suffering	2	0
vb	constitute	1	0
vbz	documents	1	0
vb	pest	1	0
vbg	using	3	4
vb	get	2	7
vbp	exist	2	0
vbg	accuses	1	0
vb	dawndc	1	0
vbn	survived	2	0
vbd	revealed	2	0
vb	prevent	1	2
vbg	piercing	1	0
vbd	were	1	0
vbz	know	1	0
vbd	dominated	1	0
vbg	hiring	1	0
vbg	chronicling	1	0
vb	preserve	1	3
vbg	funding	1	0
vbp	flickrgraph	1	0
vbg	doing	2	2
vbn	known	1	0
vbz	teaches	1	0
vbn	lost	1	2
vb	makingroom	1	0
vb	aleviate	1	0
vb	sxsw	1	0
vb	amaztype	1	0
vbp	flash	1	0
vb	mind	1	1
vb	show	1	0
vb	hoodwink	1	0
vbd	knew	1	0
vbg	invading	1	0
vbp	see	1	1
vb	podcast	1	0
vbg	prosecuting	1	0
vbg	debating	1	1
vbd	crashed	1	0
vbd	gave	1	0
vb	record	1	2
vbd	closed	1	0
vbg	streaming	1	0
vbd	destroyed	1	0
vbp	win	1	0
vbn	borne	1	0
vb	warn	1	0
vbg	detached	1	0
vb	start	1	2
vbn	confused	1	0
vbd	killed	1	5
vb	surprise	2	0
vb	gridskipper	1	0
vb	mooncruise	1	0
vbn	learned	1	0
vb	meet	2	5
vbz	markets	1	0
vbn	schooled	1	0
vbg	saving	1	0
vbn	discounted	1	0
vb	suck	1	0
vbn	refuted	1	0
vb	take	1	8
vbd	found	1	3
vbn	shot	1	0
vbd	elected	1	0
vbz	ails	1	0
vbz	notes	1	0
vbd	inspired	3	0
vbz	disowns	1	0
vb	ipsum	1	0
vbz	discusses	1	0
vb	forget	2	0
vbp	want	1	2
vbp	demonstrate	1	0
vbd	wrote	1	1
vbn	killed	1	0
vbz	contains	1	0
vb	host	1	0
vb	see	3	7
vbn	rejected	2	0
vbz	does	1	1
vbn	buried	2	1
vbg	nonliving	1	0
vb	elude	1	0
vbd	said	1	0
vb	control	1	0
vbz	threadless	1	0
vbz	harrass	1	0
vbg	punishing	1	0
vb	underscore	1	0
vb	set	1	0
vbz	track	1	0
vb	charge	1	0
vb	test	4	3
vb	make	6	25
vb	work	1	0
vbz	covers	1	0
vbd	did	1	3
vbg	speaking	1	0
vb	supersize	1	0
vbg	shaving	1	1
vb	confirm	1	0
vbd	keepvid	1	0
vbg	taping	1	0
vbd	ended	1	0
vb	play	3	4
vb	answer	1	1
vb	explore	2	1
vbz	woos	1	0
vbg	celebrating	1	2
vbd	got	2	0
vbn	released	1	2
vb	blogger	1	0
vbg	anthropomorphizing	1	0
vb	truly	1	0
vb	freak	1	0
vbz	enhances	1	0
vb	collaborative	1	0
vbp	read	1	2
vbz	nwtf	1	0
vb	view	1	1
vbn	played	1	0
vbz	choose	1	0
vb	avoid	1	2
vb	stalk	1	1
vb	disqualify	1	0
vbn	invented	1	0
nnp	play	1	3
vbz	proposes	1	0
vb	serve	1	0
vbd	launched	1	0
vbz	follows	1	0
vbg	facing	1	1
vbd	founded	1	0
vbg	taking	1	3
vbd	hired	1	0
vb	eat	1	4
vbz	has	2	9
vbz	worries	1	0
vbd	threw	1	0
vbz	watches	1	0
vb	deny	1	1
vb	ratify	1	0
vb	mod	1	0
vb	metafilter	1	0
vbn	had	1	3
vbz	furfuraceous	1	0
vbn	demolished	1	0
vbg	johnny	1	0
vbz	hates	2	2
vb	restore	2	0
vbn	created	2	0
vbz	confuses	1	0
vbg	suing	1	2
vb	stop	2	4
vbz	loves	1	1
vbg	terrorizing	2	0
vb	remove	1	2
vbn	liked	1	0
vbp	target	1	0
vb	imagine	1	0
vbn	included	1	0
vb	build	2	10
vbz	works	1	0
vbg	blog	2	0
vbz	says	1	2
vbn	visited	1	0
vbz	doubts	1	0
vb	love	1	3
vb	help	1	1
vb	frustrate	1	0
vbd	kissed	1	0
vbg	helping	1	0
vbg	julian	1	0
vb	keep	1	1
vb	save	1	5
vbg	roasting	1	0
vbp	dominate	1	1
vbz	reflects	1	0
vbn	urgh	1	0
vbz	plays	1	0
vbp	watch	1	0
vb	teach	1	0
vb	curb	1	0
vbg	promising	1	0
vbz	historic	1	0
vbn	shut	1	0
vbg	disseminating	1	0
vb	monitor	1	0
vb	drink	1	1
vbz	threatens	1	0
vbn	dedicated	1	1
vbn	collected	1	1
vbg	assassinating	1	0
vbg	witholding	1	0
vb	roll	1	3
nnp	is	1	0
vb	burn	1	0
vbp	champion	1	0
vbg	duckling	1	0
vb	faq	1	0
vb	speed	1	0
vb	pay	2	3
vbg	eliminating	1	0
vbn	changed	1	4
vb	harm	1	0
vb	buffer	1	0
vbg	washing	1	0
vbd	loved	2	0
vbz	picks	1	0
vb	discover	1	1
vbn	joined	2	1
vbd	survived	2	1
vbn	enjoyed	1	0
vbn	won	3	2
vbg	everything	1	0
vbg	giving	1	1
vbd	announced	3	0
vbd	left	1	0
vbp	homepage	1	0
vbd	recalled	1	1
vbd	predicted	1	1
vbp	show	1	1
vb	solve	1	0
vbn	sericulture	1	0
vb	invisibility	1	0
vbp	have	1	13
vb	quash	1	0
vbz	explores	2	0
vbg	explaining	1	0
vbg	judging	1	0
vbn	blocked	1	0
vbg	lasting	1	0
vb	outsource	1	0
vb	twirl	1	0
vbg	rauschenberg	1	0
vbg	playing	1	3
vbz	drives	1	0
vbg	appropriating	1	0
vbd	questioned	2	0
vb	slow	1	0
vbp	maude	1	0
vb	fulfill	1	0
vb	recycle	1	0
vbz	blogs	1	0
vbn	evocannon	1	0
vb	dislike	1	0
vb	find	1	4
vb	investigate	1	2
vbg	selling	1	0
vbg	building	2	2
vbp	suffer	1	0
vbn	resigned	1	0
vbg	saying	1	0
vb	spring	1	0
vb	subvert	1	0
vbg	measuring	1	1
vbz	summarises	1	0
vb	ask	1	3
vbn	named	1	1
vb	goldfish	1	0
vbg	bootleg	1	0
vb	overthrow	1	0
nnp	make	1	2
vbg	channeling	1	0
vbp	say	1	4
vbp	feature	1	0
vbd	had	1	7
vbd	decried	1	0
vbn	received	1	1
vbn	savvy	1	0
vb	speak	1	0
vb	cancel	1	0
vbn	broken	1	0
vbp	lose	1	1
vb	rectify	1	0
vbz	reviews	1	1
vbp	map	1	0
vbg	twisting	1	0
vbg	upsetting	1	0
vb	rent	1	1
vbn	confirmed	1	1
vbn	disowned	1	0
vbn	reviewed	1	1
vbd	parade	1	0
vbn	found	1	0
vbd	redacted	1	0
vb	experiment	1	0
vbn	funded	1	0
vbg	cutting	1	2
vb	like	1	0
vbg	landing	1	0
vb	conduct	1	0
vbg	raiding	1	0
vbn	been	1	1
vbg	restoring	1	0
vbz	conducts	1	0
vbz	paperwhites	1	0
vbd	related	1	1
vb	attract	1	0
vbd	defended	1	0
vbg	advertising	1	0
vbp	identify	1	0
vbn	sued	1	0
vb	fight	1	1
vbg	boycotting	1	1
vb	taint	1	0
vbd	called	1	0
vb	fork	1	0
vbg	promoting	1	1
vbp	spook	1	0
vbg	spybox	1	0
vbd	won	1	1
vbd	mapped	1	0
vbn	affected	1	1
vb	rescue	1	0
vbg	imitating	1	0
vbd	quashed	1	0
vbz	addresses	1	0
vb	fix	1	1
vbd	pioneered	1	0
vb	mutilate	1	0
vbd	rescinded	1	0
vbn	forgiven	1	0
vbz	recognizes	1	0
vbg	fried	1	0
vb	touch	1	0
vb	open	1	0
vbg	animated	1	0
vbz	resembles	1	0
vbn	recreated	1	0
vbg	starting	1	0
vbd	overwhelmed	1	0
vbn	studied	1	0
vbn	jolted	1	0
vbd	criticized	1	0
vbg	creating	1	2
vbg	transcending	1	0
vb	modulate	1	0
vbg	tweeting	1	0
vbn	built	1	0
vbd	brandished	1	0
vbg	scratchbuilding	1	0
vbd	combined	1	0
vb	order	1	0
vbp	make	1	9
vbz	visualizes	1	0
vbn	purchased	1	0
vbd	attended	1	0
vbd	graced	1	0
vbg	separating	1	1
vb	swallow	1	0
vb	afford	1	0
vbn	ended	1	0
vbz	investigates	1	1
vb	rip	1	0
vbn	introduced	1	0
vb	blog	1	0
vb	customize	1	1
vbg	killing	1	1
vb	collect	1	0
vbg	documenting	1	0
vbz	describes	1	2
vbd	joined	1	0
vbn	plagued	1	0
vbn	impressed	1	0
