link on VO	link on VP
sing	1	1
giving	2	0
telling	1	0
need	1	1
posting	1	0
do	2	1
buy	2	0
defaced	1	0
stop	2	0
re-establish	1	0
archived	1	0
send	1	3
changing	1	0
confirms	1	0
assume	1	0
pointed	1	0
spreading	1	0
abandoning	1	0
representing	1	0
hear	1	2
killing	1	0
leaves	1	0
selling	1	2
understanding	1	0
making	5	2
cut	1	0
raise	1	1
say	1	1
blaming	1	0
improve	2	0
make	6	5
organize	1	0
blockaded	1	0
banning	1	0
strut	1	0
resume	1	0
getting	1	1
blown	1	0
thank	1	0
broaden	1	0
burning	1	0
have	1	0
flash	1	0
denouncing	1	0
threatening	1	0
bombard	1	0
banned	1	0
watch	3	3
suspending	1	0
unfogging	1	0
explain	2	0
find	1	1
interesting	3	0
waited	1	0
made	3	1
collects	1	0
donate	1	1
build	4	0
exposing	2	0
behave	1	0
ban	2	1
submitting	1	0
profile	1	0
one-upped	1	0
download	1	1
urging	1	0
falsifying	1	0
criticizing	1	0
follow	1	2
mapping	1	0
favor	1	0
blogging	1	0
view	2	0
create	3	3
gained	1	1
take	4	7
install	1	0
save	2	4
read	4	2
firebombed	1	0
pharming	1	0
declassify	1	0
see	4	3
flaunted	1	0
keep	2	2
test	1	0
sell	2	1
elevate	1	0
re-designs	1	0
eat	1	1
dimming	1	0
redefine	1	0
inspired	1	0
cancel	1	0
punish	1	0
shown	1	0
filed	1	2
removed	2	0
demonstrates	1	0
grad	1	0
sue	1	1
sends	1	0
learn	1	3
compare	1	0
kill	2	0
empty	1	0
map	1	0
keeping	2	0
expand	1	0
understand	1	0
committed	2	0
arranged	1	0
finding	2	0
opening	1	0
out-fox	1	0
reviewing	1	0
reverse	1	0
defend	1	0
protesting	1	0
urges	1	0
received	2	1
contemporary	1	0
spray	1	0
resolving	1	0
batter	1	0
catch	1	0
unleashing	1	0
unravel	1	0
generate	2	1
approved	1	0
question	2	0
opened	1	1
died	7	4
bathe	1	0
shared	2	0
shave	1	0
experience	1	0
pours	1	0
streaming	1	0
imposing	1	0
lost	2	0
portuguese	1	0
embedding	1	0
shot	3	0
launched	1	0
welcomed	1	0
rock	1	0
vintage	1	0
signed	1	1
crashing	1	0
bar	1	0
peel	1	0
shape	1	0
commissioned	1	0
legalizing	1	0
adding	1	0
hazing	1	0
exploit	1	0
nice	1	0
competing	1	0
order	1	0
makes	1	2
dropped	2	0
misused	1	0
found	4	1
judging	1	0
won	3	0
run	1	0
closed	1	0
attended	1	0
saving	1	0
breaking	1	1
dump	1	0
get	4	1
settled	1	0
post	1	3
safeguard	1	0
benefit	1	0
share	1	0
release	2	2
roll	1	0
worn	1	0
become	1	0
reached	1	0
